entity,code,year,gdp_per_capita_ppp
Afghanistan,AFG,2019,2079.92
Albania,ALB,2019,13653.25
Algeria,DZA,2019,11627.28
Angola,AGO,2019,6602.27
Antigua and Barbuda,ATG,2019,23638.69
Argentina,ARG,2019,22071.75
Armenia,ARM,2019,14317.55
Aruba,ABW,2019,38511.34
Australia,AUS,2019,49420.94
Austria,AUT,2019,55769.68
Azerbaijan,AZE,2019,14442.04
Bahamas,BHS,2019,34325.0
Bahrain,BHR,2019,49768.98
Bangladesh,BGD,2019,5467.21
Barbados,BRB,2019,16077.52
Belarus,BLR,2019,19288.04
Belgium,BEL,2019,51977.17
Belize,BLZ,2019,8925.19
Benin,BEN,2019,3156.44
Bermuda,BMU,2019,81681.73
Bhutan,BTN,2019,12530.17
Bolivia,BOL,2019,8528.75
Bosnia and Herzegovina,BIH,2019,14851.74
Botswana,BWA,2019,15117.68
Brazil,BRA,2019,14685.13
Brunei,BRN,2019,61424.36
Bulgaria,BGR,2019,23254.79
Burkina Faso,BFA,2019,2106.04
Burundi,BDI,2019,729.66
Cambodia,KHM,2019,4464.29
Cameroon,CMR,2019,3756.51
Canada,CAN,2019,49169.12
Cape Verde,CPV,2019,7743.48
Cayman Islands,CYM,2019,72432.5
Central African Republic,CAF,2019,861.77
Chad,TCD,2019,1562.0
Chile,CHL,2019,24809.86
China,CHN,2019,15977.76
Colombia,COL,2019,14616.14
Comoros,COM,2019,3290.65
Congo,COG,2019,4093.99
Costa Rica,CRI,2019,20818.06
Cote d'Ivoire,CIV,2019,5132.34
Croatia,HRV,2019,29412.42
Curacao,CUW,2019,23903.62
Cyprus,CYP,2019,41741.8
Czechia,CZE,2019,40989.73
Democratic Republic of Congo,COD,2019,1059.89
Denmark,DNK,2019,56813.96
Djibouti,DJI,2019,4768.11
Dominica,DMA,2019,12395.42
Dominican Republic,DOM,2019,18171.06
East Asia and Pacific (WB),,2019,17709.88
East Timor,TLS,2019,3740.43
Ecuador,ECU,2019,11390.22
Egypt,EGY,2019,11780.96
El Salvador,SLV,2019,9015.66
Equatorial Guinea,GNQ,2019,16240.37
Estonia,EST,2019,36153.43
Eswatini,SWZ,2019,8501.27
Ethiopia,ETH,2019,2181.66
Europe and Central Asia (WB),,2019,35332.42
European Union (27),,2019,44370.93
Fiji,FJI,2019,13241.55
Finland,FIN,2019,48583.43
France,FRA,2019,45922.79
Gabon,GAB,2019,14478.0
Gambia,GMB,2019,2083.31
Georgia,GEO,2019,14989.26
Germany,DEU,2019,53884.38
Ghana,GHA,2019,5345.94
Greece,GRC,2019,29720.17
Grenada,GRD,2019,15394.03
Guatemala,GTM,2019,8673.0
Guinea,GIN,2019,2545.14
Guinea-Bissau,GNB,2019,1890.53
Guyana,GUY,2019,12820.5
Haiti,HTI,2019,3112.3
High-income countries,,2019,49994.82
Honduras,HND,2019,5613.66
Hong Kong,HKG,2019,59592.04
Hungary,HUN,2019,32645.66
Iceland,ISL,2019,56615.3
India,IND,2019,6617.13
Indonesia,IDN,2019,11857.79
Iran,IRN,2019,14084.35
Iraq,IRQ,2019,10299.32
Ireland,IRL,2019,86984.98
Israel,ISR,2019,41151.01
Italy,ITA,2019,42739.05
Jamaica,JAM,2019,10244.37
Japan,JPN,2019,41654.33
Jordan,JOR,2019,9534.66
Kazakhstan,KAZ,2019,26351.8
Kenya,KEN,2019,4601.21
Kiribati,KIR,2019,1963.53
Kosovo,OWID_KOS,2019,11318.46
Kuwait,KWT,2019,47314.8
Kyrgyzstan,KGZ,2019,5258.37
Laos,LAO,2019,7840.07
Latin America and Caribbean (WB),,2019,16178.05
Latvia,LVA,2019,30438.45
Lebanon,LBN,2019,17185.05
Lesotho,LSO,2019,2435.29
Liberia,LBR,2019,1455.64
Libya,LBY,2019,22535.44
Lithuania,LTU,2019,37198.88
Low-income countries,,2019,1979.09
Lower-middle-income countries,,2019,6852.39
Luxembourg,LUX,2019,115209.6
Macao,MAC,2019,122549.74
Madagascar,MDG,2019,1585.47
Malawi,MWI,2019,1517.7
Malaysia,MYS,2019,27674.4
Maldives,MDV,2019,20988.09
Mali,MLI,2019,2219.05
Malta,MLT,2019,46438.66
Marshall Islands,MHL,2019,5719.19
Mauritania,MRT,2019,5392.93
Mauritius,MUS,2019,23676.41
Mexico,MEX,2019,20553.96
Micronesia (country),FSM,2019,3540.84
Middle East and North Africa (WB),,2019,16331.92
Middle-income countries,,2019,11539.14
Moldova,MDA,2019,12776.92
Mongolia,MNG,2019,12458.02
Montenegro,MNE,2019,21534.09
Morocco,MAR,2019,8217.6
Mozambique,MOZ,2019,1290.17
Myanmar,MMR,2019,5214.37
Namibia,NAM,2019,10009.58
Nauru,NRU,2019,10529.81
Nepal,NPL,2019,3922.08
Netherlands,NLD,2019,56784.04
New Zealand,NZL,2019,43272.57
Nicaragua,NIC,2019,5398.11
Niger,NER,2019,1217.44
Nigeria,NGA,2019,5076.37
North America (WB),,2019,61107.7
North Macedonia,MKD,2019,16773.14
Norway,NOR,2019,64983.36
Oman,OMN,2019,33814.11
Pakistan,PAK,2019,5157.55
Palau,PLW,2019,17799.6
Palestine,PSE,2019,6245.45
Panama,PAN,2019,32788.33
Papua New Guinea,PNG,2019,3947.93
Paraguay,PRY,2019,13609.72
Peru,PER,2019,12735.17
Philippines,PHL,2019,8731.86
Poland,POL,2019,33159.75
Portugal,PRT,2019,34945.66
Puerto Rico,PRI,2019,34792.65
Qatar,QAT,2019,90762.4
Romania,ROU,2019,30001.1
Russia,RUS,2019,27254.57
Rwanda,RWA,2019,2190.56
Saint Kitts and Nevis,KNA,2019,31178.65
Saint Lucia,LCA,2019,15460.8
Saint Vincent and the Grenadines,VCT,2019,14183.19
Samoa,WSM,2019,6346.26
San Marino,SMR,2019,60076.01
Sao Tome and Principe,STP,2019,3482.02
Saudi Arabia,SAU,2019,47024.54
Senegal,SEN,2019,3430.48
Serbia,SRB,2019,18306.9
Seychelles,SYC,2019,29189.78
Sierra Leone,SLE,2019,1655.84
Singapore,SGP,2019,98455.33
Sint Maarten (Dutch part),SXM,2019,43394.67
Slovakia,SVK,2019,32056.78
Slovenia,SVN,2019,39061.25
Solomon Islands,SLB,2019,2616.91
Somalia,SOM,2019,1546.91
South Africa,ZAF,2019,13850.9
South Asia (WB),,2019,6294.59
South Korea,KOR,2019,42758.59
Spain,ESP,2019,40782.23
Sri Lanka,LKA,2019,13639.02
Sub-Saharan Africa (WB),,2019,3833.97
Sudan,SDN,2019,4133.13
Suriname,SUR,2019,18448.98
Sweden,SWE,2019,52850.57
Switzerland,CHE,2019,69923.93
Tajikistan,TJK,2019,3575.28
Tanzania,TZA,2019,2578.84
Thailand,THA,2019,17997.13
Togo,TGO,2019,2063.76
Tonga,TON,2019,6344.42
Trinidad and Tobago,TTO,2019,25698.01
Tunisia,TUN,2019,11113.8
Turkey,TUR,2019,28476.68
Turkmenistan,TKM,2019,14992.6
Turks and Caicos Islands,TCA,2019,25933.51
Tuvalu,TUV,2019,4831.74
Uganda,UGA,2019,2250.02
Ukraine,UKR,2019,12804.96
United Arab Emirates,ARE,2019,71782.16
United Kingdom,GBR,2019,46909.08
United States,USA,2019,62470.93
Upper-middle-income countries,,2019,16766.95
Uruguay,URY,2019,23552.84
Uzbekistan,UZB,2019,7403.74
Vanuatu,VUT,2019,3070.4
Vietnam,VNM,2019,10252.0
World,OWID_WRL,2019,16877.47
Zambia,ZMB,2019,3372.36
Zimbabwe,ZWE,2019,2203.4
