Entity,Code,Year,"GDP per capita, PPP (constant 2017 international $)"
Afghanistan,AFG,2019,2079.9219
Albania,ALB,2019,13653.249
Algeria,DZA,2019,11627.28
Angola,AGO,2019,6602.269
Antigua and Barbuda,ATG,2019,23638.686
Argentina,ARG,2019,22071.748
Armenia,ARM,2019,14317.553
Aruba,ABW,2019,38511.336
Australia,AUS,2019,49420.94
Austria,AUT,2019,55769.684
Azerbaijan,AZE,2019,14442.041
Bahamas,BHS,2019,34324.996
Bahrain,BHR,2019,49768.977
Bangladesh,BGD,2019,5467.2075
Barbados,BRB,2019,16077.515
Belarus,BLR,2019,19288.041
Belgium,BEL,2019,51977.17
Belize,BLZ,2019,8925.19
Benin,BEN,2019,3156.4387
Bermuda,BMU,2019,81681.73
Bhutan,BTN,2019,12530.171
Bolivia,BOL,2019,8528.749
Bosnia and Herzegovina,BIH,2019,14851.738
Botswana,BWA,2019,15117.685
Brazil,BRA,2019,14685.128
Brunei,BRN,2019,61424.363
Bulgaria,BGR,2019,23254.787
Burkina Faso,BFA,2019,2106.0361
Burundi,BDI,2019,729.65845
Cambodia,KHM,2019,4464.2944
Cameroon,CMR,2019,3756.5095
Canada,CAN,2019,49169.12
Cape Verde,CPV,2019,7743.479
Cayman Islands,CYM,2019,72432.5
Central African Republic,CAF,2019,861.7668
Chad,TCD,2019,1561.9967
Chile,CHL,2019,24809.861
China,CHN,2019,15977.764
Colombia,COL,2019,14616.135
Comoros,COM,2019,3290.6506
Congo,COG,2019,4093.9907
Costa Rica,CRI,2019,20818.062
Cote d'Ivoire,CIV,2019,5132.342
Croatia,HRV,2019,29412.422
Curacao,CUW,2019,23903.621
Cyprus,CYP,2019,41741.805
Czechia,CZE,2019,40989.727
Democratic Republic of Congo,COD,2019,1059.8921
Denmark,DNK,2019,56813.965
Djibouti,DJI,2019,4768.113
Dominica,DMA,2019,12395.421
Dominican Republic,DOM,2019,18171.06
East Asia and Pacific (WB),,2019,17709.883
East Timor,TLS,2019,3740.4346
Ecuador,ECU,2019,11390.217
Egypt,EGY,2019,11780.962
El Salvador,SLV,2019,9015.664
Equatorial Guinea,GNQ,2019,16240.37
Estonia,EST,2019,36153.434
Eswatini,SWZ,2019,8501.267
Ethiopia,ETH,2019,2181.659
Europe and Central Asia (WB),,2019,35332.418
European Union (27),,2019,44370.934
Fiji,FJI,2019,13241.546
Finland,FIN,2019,48583.434
France,FRA,2019,45922.793
Gabon,GAB,2019,14478.002
Gambia,GMB,2019,2083.309
Georgia,GEO,2019,14989.258
Germany,DEU,2019,53884.375
Ghana,GHA,2019,5345.9414
Greece,GRC,2019,29720.17
Grenada,GRD,2019,15394.03
Guatemala,GTM,2019,8673.002
Guinea,GIN,2019,2545.1401
Guinea-Bissau,GNB,2019,1890.5331
Guyana,GUY,2019,12820.503
Haiti,HTI,2019,3112.296
High-income countries,,2019,49994.82
Honduras,HND,2019,5613.6606
Hong Kong,HKG,2019,59592.035
Hungary,HUN,2019,32645.664
Iceland,ISL,2019,56615.305
India,IND,2019,6617.13
Indonesia,IDN,2019,11857.789
Iran,IRN,2019,14084.354
Iraq,IRQ,2019,10299.316
Ireland,IRL,2019,86984.984
Israel,ISR,2019,41151.008
Italy,ITA,2019,42739.05
Jamaica,JAM,2019,10244.366
Japan,JPN,2019,41654.33
Jordan,JOR,2019,9534.661
Kazakhstan,KAZ,2019,26351.805
Kenya,KEN,2019,4601.2114
Kiribati,KIR,2019,1963.5349
Kosovo,OWID_KOS,2019,11318.459
Kuwait,KWT,2019,47314.797
Kyrgyzstan,KGZ,2019,5258.3667
Laos,LAO,2019,7840.0713
Latin America and Caribbean (WB),,2019,16178.053
Latvia,LVA,2019,30438.453
Lebanon,LBN,2019,17185.047
Lesotho,LSO,2019,2435.2864
Liberia,LBR,2019,1455.6377
Libya,LBY,2019,22535.445
Lithuania,LTU,2019,37198.875
Low-income countries,,2019,1979.0868
Lower-middle-income countries,,2019,6852.3877
Luxembourg,LUX,2019,115209.6
Macao,MAC,2019,122549.74
Madagascar,MDG,2019,1585.4717
Malawi,MWI,2019,1517.7031
Malaysia,MYS,2019,27674.398
Maldives,MDV,2019,20988.092
Mali,MLI,2019,2219.0466
Malta,MLT,2019,46438.664
Marshall Islands,MHL,2019,5719.19
Mauritania,MRT,2019,5392.9326
Mauritius,MUS,2019,23676.414
Mexico,MEX,2019,20553.955
Micronesia (country),FSM,2019,3540.8438
Middle East and North Africa (WB),,2019,16331.92
Middle-income countries,,2019,11539.141
Moldova,MDA,2019,12776.922
Mongolia,MNG,2019,12458.019
Montenegro,MNE,2019,21534.09
Morocco,MAR,2019,8217.599
Mozambique,MOZ,2019,1290.1674
Myanmar,MMR,2019,5214.3735
Namibia,NAM,2019,10009.578
Nauru,NRU,2019,10529.813
Nepal,NPL,2019,3922.0813
Netherlands,NLD,2019,56784.04
New Zealand,NZL,2019,43272.566
Nicaragua,NIC,2019,5398.1074
Niger,NER,2019,1217.4355
Nigeria,NGA,2019,5076.368
North America (WB),,2019,61107.695
North Macedonia,MKD,2019,16773.143
Norway,NOR,2019,64983.355
Oman,OMN,2019,33814.113
Pakistan,PAK,2019,5157.5464
Palau,PLW,2019,17799.605
Palestine,PSE,2019,6245.4487
Panama,PAN,2019,32788.332
Papua New Guinea,PNG,2019,3947.9338
Paraguay,PRY,2019,13609.723
Peru,PER,2019,12735.168
Philippines,PHL,2019,8731.861
Poland,POL,2019,33159.75
Portugal,PRT,2019,34945.66
Puerto Rico,PRI,2019,34792.65
Qatar,QAT,2019,90762.4
Romania,ROU,2019,30001.105
Russia,RUS,2019,27254.574
Rwanda,RWA,2019,2190.562
Saint Kitts and Nevis,KNA,2019,31178.648
Saint Lucia,LCA,2019,15460.798
Saint Vincent and the Grenadines,VCT,2019,14183.188
Samoa,WSM,2019,6346.2563
San Marino,SMR,2019,60076.01
Sao Tome and Principe,STP,2019,3482.0247
Saudi Arabia,SAU,2019,47024.543
Senegal,SEN,2019,3430.484
Serbia,SRB,2019,18306.904
Seychelles,SYC,2019,29189.785
Sierra Leone,SLE,2019,1655.8433
Singapore,SGP,2019,98455.33
Sint Maarten (Dutch part),SXM,2019,43394.668
Slovakia,SVK,2019,32056.78
Slovenia,SVN,2019,39061.25
Solomon Islands,SLB,2019,2616.9084
Somalia,SOM,2019,1546.9055
South Africa,ZAF,2019,13850.8955
South Asia (WB),,2019,6294.5938
South Korea,KOR,2019,42758.59
Spain,ESP,2019,40782.234
Sri Lanka,LKA,2019,13639.021
Sub-Saharan Africa (WB),,2019,3833.967
Sudan,SDN,2019,4133.1304
Suriname,SUR,2019,18448.979
Sweden,SWE,2019,52850.57
Switzerland,CHE,2019,69923.93
Tajikistan,TJK,2019,3575.282
Tanzania,TZA,2019,2578.8403
Thailand,THA,2019,17997.133
Togo,TGO,2019,2063.7588
Tonga,TON,2019,6344.4214
Trinidad and Tobago,TTO,2019,25698.006
Tunisia,TUN,2019,11113.796
Turkey,TUR,2019,28476.684
Turkmenistan,TKM,2019,14992.604
Turks and Caicos Islands,TCA,2019,25933.512
Tuvalu,TUV,2019,4831.7363
Uganda,UGA,2019,2250.015
Ukraine,UKR,2019,12804.955
United Arab Emirates,ARE,2019,71782.16
United Kingdom,GBR,2019,46909.08
United States,USA,2019,62470.93
Upper-middle-income countries,,2019,16766.95
Uruguay,URY,2019,23552.842
Uzbekistan,UZB,2019,7403.7427
Vanuatu,VUT,2019,3070.404
Vietnam,VNM,2019,10252.004
World,OWID_WRL,2019,16877.473
Zambia,ZMB,2019,3372.359
Zimbabwe,ZWE,2019,2203.3967
